Articolo;Categoria;Quantita (kg);P medio (�/kg);P medio ($/kg);CMP medio (�/kg);CMP medio ($/kg);MP con dazio
MP1;MP;48000;0,93;;;0,651;x
MP2;MP;700;4;;;2,8;x
MP3;MP;1100;2,4;;;1,68;x
MP4;MP;125;4;;;2,8;x
MP5;MP;1925;2,905844156;;;2,034090909;x
MP6;MP;125;4,4;;;3,08;x
MP7;MP;2000;4,62;;;3,234;x
MP8;MP;1000;2,65;;;1,855;x
MP9;MP;7000;0,19;;0,133;;
MP10;MP;34866,4;0,507106438;;0,354974506;;
MP11;MP;14037,12;7,410452856;;5,187316999;;
MP12;MP;1904;1,427573529;;0,999301471;;
MP13;MP;150;13;;9,1;;
MP14;MP;20;13,5;;9,45;;
PCL1;PCL;2160885;0,110658781;;0,06;;
PCL2;PCL;168325;0,63902213;;0,45;;
PCL3;PCL;495475;1,650316521;;1,225002418;;
PCL4;PCL;489058;2,681448998;;2,216988639;;
PCL5;PCL;6160;2,25;;1,86435;;
PF P1;PF;1719564;3,252735577;;2,297008399;;
PF P2;PF;292499;3,273088113;;2,252870989;;
PF P3;PF;442800;3,231733288;;2,276784736;;
PF P4;PF;8070474;3,133935877;;2,158197696;;
PF P5;PF;205850;;3,145504008;2,159293111;;
PF P6;PF;3233156;;3,230922646;2,297685202;;
PF P7;PF;660340;0,960420541;;0,735620477;;
PF V1;PF;509668;1,46598109;;1,139904238;;
PF V2;PF;2539984;1,55740622;;1,190501487;;
PF V3;PF;879638;1,525531014;;1,159534771;;
PF V4;PF;579689;1,558827112;;1,187010772;;
PF V5;PF;448105;1,42374689;;1,122335909;;
PF V6;PF;130100;1,923170638;;1,248968049;;
PF V7;PF;13340;1,188050975;;0,550814948;;
PF V8;PF;81820;1,696673185;;1,288862484;;
PF V9;PF;21040;1,601013308;;1,368942842;;
PF V10;PF;14625;1,605897436;;1,231916667;;
PF V11;PF;307868;;1,057781777;0,759976448;;
PF V12;PF;7000;;1,388571429;1,120698571;;
PF V13;PF;850145;;1,27101892;0,991277809;;
PF V14;PF;40480;;1,271583498;0,965388281;;
PF V15;PF;30000;2,141333333;;1,694168;;
PF V16;PF;16500;1,200757576;;0,924460379;;
PF A1;PF;94290;1,288586276;;0;;
PF A2;PF;151620;1,787772062;;1,518272463;;
PF A3;PF;411979;1,83229727;;1,440478649;;
PF A4;PF;1362839;;1,665474719;1,310580656;;
PF A5;PF;96425;;1,585604356;1,183723969;;
PF A6;PF;61100;;1,730632406;1,2825348;;
PF A7;PF;2820458,99;1,639776727;;1,240862374;;
PF A8;PF;157263;1,627192347;;1,164888047;;
PF A9;PF;261930;1,552207078;;1,034656955;;
PF A10;PF;500680;1,245509307;;0,900182497;;
PF A11;PF;62569;1,93259026;;1,361131939;;
PF A12;PF;927765;2,009165683;;1,404875676;;
PF A13;PF;129425;1,630704655;;1,19999511;;
PF A14;PF;131955;1,979181767;;1,370090544;;
PF A15;PF;375075;1,786558022;;1,228367869;;
PF A16;PF;151110;1,61289094;;1,19502727;;
PF A17;PF;240225;1,936525965;;1,417506081;;
PF A18;PF;392880;1,033812615;;0,543679154;;
PF A19;PF;1325620;1,599287126;;1,411271868;;
