Articolo;Categoria;Famiglia;Quantita (kg);Prezzo e/kg;CMP e/kg (con dazio);Ricavo;Costo
MP1;MP;MP;48000,0;0,93;0,593;44640,0;28443,69
MP2;MP;MP;700,0;4,0;2,549;2800,0;1784,1
MP3;MP;MP;1100,0;2,4;1,529;2640,0;1682,15
MP4;MP;MP;125,0;4,0;2,549;500,0;318,59
MP5;MP;MP;1925,0;2,906;1,852;5593,75;3564,22
MP6;MP;MP;125,0;4,4;2,804;550,0;350,45
MP7;MP;MP;2000,0;4,62;2,944;9240,0;5887,54
MP8;MP;MP;1000,0;2,65;1,689;2650,0;1688,53
MP9;MP;MP;7000,0;0,19;0,133;1330,0;931,0
MP10;MP;MP;34866,4;0,507;0,355;17680,98;12376,68
MP11;MP;MP;14037,12;7,41;5,187;104021,42;72814,99
MP12;MP;MP;1904,0;1,428;0,999;2718,1;1902,67
MP13;MP;MP;150,0;13,0;9,1;1950,0;1365,0
MP14;MP;MP;20,0;13,5;9,45;270,0;189,0
PCL1;PCL;PCL;2160885,0;0,111;0,06;239120,9;129653,1
PCL2;PCL;PCL;168325,0;0,639;0,45;107563,4;75746,25
PCL3;PCL;PCL;495475,0;1,65;1,225;817690,58;606958,07
PCL4;PCL;PCL;489058,0;2,681;2,217;1311384,08;1084236,03
PCL5;PCL;PCL;6160,0;2,25;1,864;13860,0;11484,4
PF P1;PF;P;1719564,0;3,253;2,297;5593287,0;3949852,95
PF P2;PF;P;292499,0;3,273;2,253;957375,0;658962,51
PF P3;PF;P;442800,0;3,232;2,277;1431011,5;1008160,28
PF P4;PF;P;8070474,0;3,134;2,158;25292348,01;17417678,39
PF P5;PF;P;205850,0;2,688;2,159;553420,51;444490,49
PF P6;PF;P;3233156,0;2,761;2,298;8928270,89;7428774,7
PF P7;PF;P;660340,0;0,96;0,736;634204,1;485759,63
PF V1;PF;V;509668,0;1,466;1,14;747163,65;580972,71
PF V2;PF;V;2539984,0;1,557;1,191;3955786,88;3023854,73
PF V3;PF;V;879638,0;1,526;1,16;1341915,05;1019970,85
PF V4;PF;V;579689,0;1,559;1,187;903634,93;688097,09
PF V5;PF;V;448105,0;1,424;1,122;637988,1;502924,33
PF V6;PF;V;130100,0;1,923;1,249;250204,5;162490,74
PF V7;PF;V;13340,0;1,188;0,551;15848,6;7347,87
PF V8;PF;V;81820,0;1,697;1,289;138821,8;105454,73
PF V9;PF;V;21040,0;1,601;1,369;33685,32;28802,56
PF V10;PF;V;14625,0;1,606;1,232;23486,25;18016,78
PF V11;PF;V;307868,0;0,904;0,76;278339,45;233972,43
PF V12;PF;V;7000,0;1,187;1,121;8307,69;7844,89
PF V13;PF;V;850145,0;1,086;0,991;923547,33;842729,87
PF V14;PF;V;40480,0;1,087;0,965;43994,62;39078,92
PF V15;PF;V;30000,0;2,141;1,694;64240,0;50825,04
PF V16;PF;V;16500,0;1,201;0,924;19812,5;15253,6
PF A1;PF;A;94290,0;1,289;0,0;121500,8;0,0
PF A2;PF;A;151620,0;1,788;1,518;271062,0;230200,47
PF A3;PF;A;411979,0;1,832;1,44;754868,0;593446,95
PF A4;PF;A;1362839,0;1,423;1,311;1939977,69;1786110,43
PF A5;PF;A;96425,0;1,355;1,184;130676,84;114140,58
PF A6;PF;A;61100,0;1,479;1,283;90377,47;78362,88
PF A7;PF;A;2820458,99;1,64;1,241;4624923,01;3499801,44
PF A8;PF;A;157263,0;1,627;1,165;255897,15;183193,79
PF A9;PF;A;261930,0;1,552;1,035;406569,6;271007,7
PF A10;PF;A;500680,0;1,246;0,9;623601,6;450703,37
PF A11;PF;A;62569,0;1,933;1,361;120920,24;85164,66
PF A12;PF;A;927765,0;2,009;1,405;1864033,6;1303394,48
PF A13;PF;A;129425,0;1,631;1,2;211053,95;155309,37
PF A14;PF;A;131955,0;1,979;1,37;261162,93;180790,3
PF A15;PF;A;375075,0;1,787;1,228;670093,25;460730,08
PF A16;PF;A;151110,0;1,613;1,195;243723,95;180580,57
PF A17;PF;A;240225,0;1,937;1,418;465201,95;340520,4
PF A18;PF;A;392880,0;1,034;0,544;406164,3;213600,67
PF A19;PF;A;1325620,0;1,599;1,411;2120047,0;1870810,21
