Articolo;Categoria;Quantita (kg);Prezzo €/kg;CMP €/kg (con dazio)
MP1;MP;48000.0;0.93;0.59257704
MP2;MP;700.0;4.0;2.5487182
MP3;MP;1100.0;2.4;1.5292308
MP4;MP;125.0;4.0;2.5487182
MP5;MP;1925.0;2.9058442;1.8515445
MP6;MP;125.0;4.4;2.80359
MP7;MP;2000.0;4.62;2.9437695
MP8;MP;1000.0;2.65;1.6885258
MP9;MP;7000.0;0.19;0.133
MP10;MP;34866.4;0.5071064;0.3549745
MP11;MP;14037.12;7.410453;5.187317
MP12;MP;1904.0;1.4275736;0.9993015
MP13;MP;150.0;13.0;9.1
MP14;MP;20.0;13.5;9.45
PCL1;PCL;2160885.0;0.11065878;0.06
PCL2;PCL;168325.0;0.6390221;0.45
PCL3;PCL;495475.0;1.6503165;1.2250024
PCL4;PCL;489058.0;2.681449;2.2169886
PCL5;PCL;6160.0;2.25;1.86435
PF P1;PF;1719564.0;3.2527356;2.2970085
PF P2;PF;292499.0;3.2730882;2.252871
PF P3;PF;442800.0;3.2317333;2.2767847
PF P4;PF;8070474.0;3.133936;2.1581976
PF P5;PF;205850.0;2.688465;2.1592932
PF P6;PF;3233156.0;2.7614725;2.2976851
PF P7;PF;660340.0;0.96042055;0.7356205
PF V1;PF;509668.0;1.4659811;1.1399043
PF V2;PF;2539984.0;1.5574062;1.1905015
PF V3;PF;879638.0;1.525531;1.1595348
PF V4;PF;579689.0;1.5588272;1.1870108
PF V5;PF;448105.0;1.423747;1.1223359
PF V6;PF;130100.0;1.9231707;1.248968
PF V7;PF;13340.0;1.188051;0.5508149
PF V8;PF;81820.0;1.6966732;1.2888625
PF V9;PF;21040.0;1.6010133;1.3689429
PF V10;PF;14625.0;1.6058974;1.2319167
PF V11;PF;307868.0;0.90408707;0.75997645
PF V12;PF;7000.0;1.1868132;1.1206986
PF V13;PF;850145.0;1.0863409;0.9912778
PF V14;PF;40480.0;1.0868236;0.9653883
PF V15;PF;30000.0;2.1413333;1.694168
PF V16;PF;16500.0;1.2007576;0.92446035
PF A1;PF;94290.0;1.2885863;0.0
PF A2;PF;151620.0;1.787772;1.5182725
PF A3;PF;411979.0;1.8322973;1.4404787
PF A4;PF;1362839.0;1.4234828;1.3105806
PF A5;PF;96425.0;1.3552175;1.1837239
PF A6;PF;61100.0;1.4791731;1.2825348
PF A7;PF;2820458.99;1.6397767;1.2408624
PF A8;PF;157263.0;1.6271924;1.164888
PF A9;PF;261930.0;1.5522071;1.034657
PF A10;PF;500680.0;1.2455093;0.9001825
PF A11;PF;62569.0;1.9325902;1.3611319
PF A12;PF;927765.0;2.0091658;1.4048756
PF A13;PF;129425.0;1.6307046;1.1999952
PF A14;PF;131955.0;1.9791818;1.3700905
PF A15;PF;375075.0;1.786558;1.2283679
PF A16;PF;151110.0;1.612891;1.1950272
PF A17;PF;240225.0;1.936526;1.4175061
PF A18;PF;392880.0;1.0338126;0.5436792
PF A19;PF;1325620.0;1.5992872;1.4112718
